                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.32914,                0.61044,                0.28366,                0.91344,                0.99599,                      1,                  0.995,                0.95062,                0.99599,                      1,                  0.995,                0.98518,                0.29822,                0.38821,                0.24589,                0.82356,              0.0002378,              0.0002378,              0.0002378
                     91,                0.25593,                0.50046,                0.27497,                0.90843,                0.99603,                      1,                  0.995,                0.96123,                0.99603,                      1,                  0.995,                0.98659,                 0.3186,                0.38094,                0.27171,                0.83209,               0.000218,               0.000218,               0.000218
                     92,                0.24291,                0.46886,                0.24018,                0.86232,                0.99568,                      1,                  0.995,                0.92857,                0.99568,                      1,                  0.995,                0.97367,                0.37135,                0.38439,                0.29042,                0.86473,              0.0001982,              0.0001982,              0.0001982
                     93,                0.25276,                0.47174,                0.27289,                0.86053,                0.99563,                      1,                  0.995,                0.94634,                0.99563,                      1,                  0.995,                  0.995,                0.32735,                0.39731,                0.29036,                0.84199,              0.0001784,              0.0001784,              0.0001784
                     94,                0.24128,                 0.4747,                0.24485,                0.88677,                 0.9958,                      1,                  0.995,                0.95813,                 0.9958,                      1,                  0.995,                0.98641,                0.30175,                0.39867,                0.25459,                0.82494,              0.0001586,              0.0001586,              0.0001586
                     95,                0.23675,                0.45716,                0.23819,                0.87045,                0.99586,                      1,                  0.995,                0.95804,                0.99586,                      1,                  0.995,                0.98707,                0.29548,                0.39072,                0.23274,                0.82094,              0.0001388,              0.0001388,              0.0001388
                     96,                0.24774,                0.44861,                0.23268,                0.85358,                0.99592,                      1,                  0.995,                0.95788,                0.99592,                      1,                  0.995,                  0.995,                0.31242,                0.37802,                0.24043,                 0.8285,               0.000119,               0.000119,               0.000119
                     97,                0.21888,                0.44635,                0.21051,                0.84609,                0.99589,                      1,                  0.995,                0.97264,                0.99589,                      1,                  0.995,                0.98567,                0.30015,                0.37483,                0.21914,                0.82213,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.23319,                0.45255,                0.22996,                0.84194,                0.99594,                      1,                  0.995,                0.96332,                0.99594,                      1,                  0.995,                0.98567,                0.29122,                0.37394,                0.20763,                0.81624,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.23966,                0.48281,                0.24975,                0.87308,                0.99597,                      1,                  0.995,                0.96422,                0.99597,                      1,                  0.995,                0.98568,                0.28997,                0.37321,                0.20906,                0.81343,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.22589,                  0.437,                0.22418,                0.85461,                0.99596,                      1,                  0.995,                 0.9619,                0.99596,                      1,                  0.995,                0.98502,                0.28652,                0.37305,                0.21009,                0.81003,               3.98e-05,               3.98e-05,               3.98e-05
